,docid,review,rating
",4.463736264
21,usa_illinois_chicago_the_westin_chicago_river_north,"	Pleasant comfortable but unspectacular lodgings	The Westin Chicago River North is a well-run chain establishment centrally located in downtown Chicago. Our room, with a view of the Chicago River, was by no means over-the-top luxurious, but it was well-designed and spacious, with good lighting and comfortable seating. A quiet room and the Westin &quot;Heavenly Bed&quot; made for excellent sleeping conditions for someone who often does not sleep well even in better hotels. Service in the hotel was polite and efficient.What keeps this hotel from receiving a top rating: (1) lack of any &quot;wow&quot; factor: the room, while comfortable, was also generic; (2) no free wi-fi; (3) the food we were served in the banquet rooms (for a wedding) was fairly indifferent in quality, even for banquet food. Still, if the price is right, this hotel can offer a very good deal.	
",4.3585585589999996
22,usa_illinois_chicago_holiday_inn_chicago_midway_airport,"Jul 29 2009 	Excellent Midway Hotel	We stayed at this hotel for one night before an early morning flight out of Chicago.Initially we went to the Holiday Inn Express that was in the same hotel complex. I think I had accidently read the reviews for the Express prior to coming, so I was pleasantly surprised when we got to the right hotel. It is new hotel, with nice facilities, nice large flat screen, and comfortable beds.Side note to this story, I booked the hotel through bidding on priceline. The receptionist was very nice while checking us in. I inquired about the cost of leaving our car in the hotel lot during our weekend trip. She told me that it would be $10/day. I decided to talk to over with my husband, only because there our a few slightly less expensive parking options. The next morning, I went to the receptionist to say we were interested in leaving our car. She said there was a promotion going on for anyone who stayed at the hotel and that it would be free. Not sure if the promotion wasnt supposed to also be with priceline purchases, but it worked for us and we happily saved $50 on parking. Food wise, there are tons of nearby restaurants. TGIF was next to the hotel. When checking in, the receptionist gave us a menu for Giordanos Pizza which was nearby. They delivered to our room about an hour after ordering. The pizza is great; I just wish that we had eaten at the actual restaurant, as the pizza was really messy to eat in the room. The shuttle came every 20 minutes, was prompt, clean, and the drivers were friendly. The hotel is right next to the airport (no noise problems) so the shuttle takes less than 10 minutes to get to the airport, even with the other stops.Overall, the experience was excellent; this hotel will be our future choice when we are staying at Midway.	
",4.65
23,usa_illinois_chicago_carlton_inn_midway,"Oct 12 2009 	Great Value and Great Staff	We stayed at this hotel the night before an early flight from Midway and what a pleasant stay it was. The rooms were clean and up to date and the TV had probably 200 channels. The staff really made our stay by informing us that we could jump on the train, right around the corner, and be downtown in 20 minutes. We did just that and had dinner at a restaurant that was personally recommended by the manager. The next morning at 5 a.m., we came down the stairs and the driver was waiting next to the van with the doors open to take us to Midway. Best of all, we paid $25 less than the other hotels in the area-this place is a gem	
",4.556521739
24,usa_illinois_chicago_omni_chicago_hotel,"Nov 24 2009 	Really great hotel in a super location	Our family just returned from a three night stay at the Omni. The Omni is a really nice suite-style hotel. The suite was very clean and simply decorated. Having the two rooms with actual doors that closed between the rooms was very handy. We never felt on top of one another. We went to the hotel restaurant, 676, which was great. All of the staff---front desk, bell staff, concierge, housekeeping just couldn't have been friendlier. Honestly, that was probably the nicest part of the hotel. I voted the value down a little bit, because the cost of valet parking was so high at $49/night. It's been a couple of years since we were in Chicago...but $49 seems pretty high. One thing that I would vote to change if anyone asked...add another kid-friendly channel (Disney Channel or Cartoon Disney) to the cable TV line-up. Sometimes Cartoon Network and Nickelodeon aren't very appealing to the younger kids. We love Chicago and the kids are already asking when we can go back. So much to do...so little time!	
",4.515025907
25,usa_illinois_chicago_residence_inn_chicago_downtown,"Oct 25 2009 	Great Hotel off Mag Mile	Pros - nice block of hotels and buildings kitchenette and buffett breakfast clean and modern hotel can't get closer to mag mile without being on itCons - grocery store is more than a few blocks away if location is your prority, this is not place - try river north about 6 blocks to closest el station - not ok in the winterI like staying at Residence Inns when I'm on vacation for longer than week. No need to eat out every meal because of the kitchnettes, plus there is a pretty good buffet breakfast and free newspapers in the morning. This Residence Inn is located on Walton, a block from the lake and a block from the top of Michigan Ave. For your frist trip to Chicago this is really a great location to stay in but river north is really better to stay at. This close to bloomingdales, macy's, and the designer shops, you can catch the tour bus and go to the chocolate factory. State street, navy pier, the musuems are walk but possible.	
",4.403389831
26,usa_illinois_chicago_fairfield_inn_suites_chicago_downtown,"Nov 4 2009 	Convenient reasonable Chicago Downtown Hotel	In great location on Ontario Street, a block off Michigan. 4 blocks from the El. Good price including breakfast. Great staff that goes out of their way to help including printing out directions to places you want to go. Free internet in all rooms and computer to use for free in the lobby with a printer so you can print your boarding pass. No restaurant or food pantry for snacks, but a number of restaurants of all caliber nearby. Most of the places we went to in Chicago, Drake hotel for drinks, Chicago cultural center, Millenium park, we could walk to.	
",4.367088608
27,usa_illinois_chicago_millennium_knickerbocker_hotel_chicago,"	The Knickerbocker is a great experience.	From the time we arrived until we left, the Knickerbocker was a great experience. The staff was courteous, and the service was outstanding. The rooms were bright and clean and the food and service in the restaurant was superb.	
",4.0984615380000005
28,usa_illinois_chicago_the_ritz_carlton_chicago_a_four_seasons_hotel,"Nov 12 2009 	What you'd expect from a ""mutant"" Four Seasons-Ritz Carlton	It's confusing branding, but it's pretty much what you'd expect. Nearly obsequious service, but not quite. Nice setting. Very clean and well maintained rooms. Quiet. Food is excellent in room service and restaurants. Very nice views from nearly every room. Possible to get good rates that make it possible to stay here for business.	
",4.3641025639999995
29,usa_illinois_chicago_four_points_by_sheraton_chicago_downtown_magnificent_mile,"Nov 16 2009 	great hotel and location not so good staff	So the hotel was great, great location especially for two 22 year old girls who want to shop, party and site see. Our room was great and although there was no view at all it was very comfortable. The only problem we had was the staff. Normally I would like to avoid using names but I feel that Rachel should be mentioned. She should NOT be in the service industry! When a couple in front of us asked for a statement folio she slammed down the phone in anger and was huffing and puffing, me and my friend were actually too scared to approach her at any point to ask any questions incase she exploded in the same way. She was always in the back office and never manning the front desk and i dont believe i seen her smile once her attitude was appalling. There was also another lady whos name I didnt get, she was also quite ignorant and abrupt. On the bright side the valet staff and another 2 front desk staff a young girl and boy were both very friendly so we were actually able to get in a few questions here and there. We also used the pool which was fun but very very shallow, nice and relaxin after a full days shopping though. I would recommend this hotel mainly for its location and certainly not for rachel!!	
",4.364705882
30,usa_illinois_chicago_comfort_suites,"	surprising we must read.	I am a traveler and I enjoy staying with good hotels , but first I always check the reviews and what people have to say about the location I am willing to check in with. In Chicago (our favorite city) we usually stay at the Palmer house ( Hilton ) , Hilton Garden inn, Conrad, Chicago Hilton or Marriott on Michigan Ave. Our destination is always the Magnificent mile especially the closest to Michigan Ave. So far, we found out that the best hotel in Chicago is and still the Conrad on Rush street ( off Grand and Michigan ). But, this time of the year and during the thxgiving break we all spend it in Chigo every year, we couldn't get the rate we wanted, except when we went on BOOKING.COM and we found a good deal to stay with Comfort suites on 320 N. Michigan Ave. WOW, and WOW, we were really surprised. Small lobby, yes , but the room is spacious, it is long more than it is wide, unbelievably clean, ( that's what I also saw in the reviews before our stay), very good help there, they are trying hard to accomodate all their customers, not bad as customer service at all, what we are surprised about is the room. Big room and actually I must say they are all suites, with even washers and dryers inside the suite. Great value, good hotel, clean, mostly all suites with view of the river and Michigan Avenue. My wife agreed with me to stay with them always from now on. We are going back there after Christmas. We loved it, and I advice you to go ahead and make your plan to Chicago and give them your business. Honestly it is close to everything, few blocks from the Water Tower, and close to nort grant parking deck underground.	
",4.480952381
31,usa_illinois_chicago_courtyard_by_marriott_chicago_downtown_magnificent_mile,"Nov 5 2009 	Great Location - Average Hotel	The hotel has a great location, about 1/4 of a block from Michigan avenue. Once on Michigan there are a plethora of restaurants and bars to choose from.I'll break my review down to a few aspects of the hotelCheck In: Not a pleasant experience. There were 3 big groups checking in the same time as us and 1 person manning the check in counter. After 15 minutes they eventually pulled someone else over. Finally after nearly 30 minutes they gave us our key. They conveniently forgot about the $25 gift card we selected on their website. Forget about that. Its not a gift card. Its a promise to pay reabate that you must mail in when you return home. Thanks!Room: We were put on the top floor orignally in a terrible room with no view. We called down to the front desk to see if we could be switched. After 20 rings, and no answer, I headed downstairs. I asked for a corner room, as I requested on the internet. They finally gave use one, saying it only had a queen beed. I didnt care about that. This room was awesome with an extra long window facing the lake (partially obstructed by taller buildings). New LG LCD tv and another window facing North (John Hancock partially visable).Pool: Forget about it. Its a glorified hot tub, except the water is freezing. If your looking for a nice relaxing swim - dont stay here.Staff: Most of the staff were helpful, nothing execptional though. I had a run in with the restaurant bartender the Saturday night they were there. He was running his mouth and shooting down all of his customers opinions on the upcoming NFL season. I blurted out &quot;your an idiot&quot; and he totally freaked out. Took my drink from me, told me I'm cutoff , and asked me to leave the bar. Needless to say this really irritated my wife and I and we complained the next day to the barley 30 year old manager. He was useless and didnt offer us anything in compensation.Restaurant - Good for drinks, didnt try the food, avoid sitting at the bar when there is a tall skinny black haired kid with long sideburns.Overall - I would definetly check out the proper Marriott , Hilton, or Renaissance next time I stay downtown Chicago. This was cheaper yes, but you get what you pay for.	
",4.352941176
32,usa_illinois_chicago_la_quinta_inn_suites_chicago_downtown,"	Great!	The favorable reviews, free WiFi, free breakfast, pool, location, and discounted parking was the reason I decided to stay at this hotel. I booked the standard room with 2 Full beds. At check-in, the friendly receptionist upgraded us an Executive room with King bed and pullout sofa. The room was a very spacious corner room on the top floor with 2 walls of windows for an impressive view of the surrounding city. The bathroom was large and modern. The deskspace was 10 feet long with 2 leather executive chairs. Just a great experience. Everything in the hotel is new and modern. The only downside is the pool and hottub are really small! But the kids had fun, and it didn't matter. Everything else was excellent.	
",4.372727273
33,usa_illinois_chicago_renaissance_chicago_o_hare_suites_hotel,"	Weekend Affordable and Close to ORD/Chicago	This is an excellent hotel if you are in Chicago for the weekend and you don't mind taking the MTA into the City (30-40 minutes $2). If you are flying in, then they have a very frequent shuttle to pick you up from ORD. And if you are driving-in just for the weekend, the hotel is adjacent to the Blue Line Station to get into the city. Traffic can be maddening.They have an good fitness room in the basement and the pool area is adjacent with families. The only caution is that I would recommend any room ending in ##14, you will be away from the freeway and the room is set up as a 1 bedroom. Many room have the TV on a lazy Susan/dresser separating the sleeping area from the living area. Other thing, all bathrooms are modern walk-in showers--no tubs...	
",4.447619048
34,usa_illinois_chicago_intercontinental_chicago,"	A great spot!	We have always been pleased with our stays at Intercontinental hotels. Chicago was especially pleasant with a helpful staff.	
",4.2578073089999995
35,usa_illinois_chicago_swissotel_chicago,"	Very nice stay	We spent the Thanksgiving weekend at the hotel and got a very good price (much lower than the normal rate). The room was very nice as was the pool and exercise room. The parking was expensive, but they give 50% discount for hybrid cars (yea!) so it was reasonable. There aren't many places in the immediate vicinity to eat, but nothing is a very far walk.	
",4.168200837
36,usa_illinois_chicago_fairmont_chicago_millennium_park,"	Hotel is going through hard times	I was looking forward to staying here for my wedding in late September, and was surprised by the signs of hard times that were subtle, but affected me and my husband. For example, he got locked out of our room 2 times, once having to wait for 15 minutes in the hallway after going to the spa. The other time was when he was getting ready for our wedding ceremony, so that was stressful because he lost some time. The keycard just would stop working. Then a fuse blew, so we had no power while trying to get ready. It happened to me also, coming back from the spa, and I called on the hallway phone to get help. Luckily, right after that, an employee who was randomly walking by asked me if I had been waiting long--as if she knew this was a problem. I said no, and she called down to check. Apparently, no one had even called Security to get me back into my room! She had a set of keys and let me in, thank god. Then, on our wedding night, my husband wanted to order from room service. It was a little after 10:30pm. We were told that room service was closed for the night--even though all the literature in the room brags about &quot;24 hour dining.&quot; That fact was never communicated to us when we checked in.I feel like the quality of service and amenities are slipping. We later heard something about a lot of employees getting laid off, so maybe that's why people weren't too intersted in providing good service. I don't think if I would recommend that anyone stay at this Fairmont nor will I ever again. BTW, the spa is great to hang out in, even if you're not doing a massage.	
",4.2073170730000005
37,usa_illinois_chicago_hotel_blake,"	Great Hotel Good Location Great Value	I took my girlfriend to Chicago as a surprise anniversary present the weekend before Thanksgiving. I am unfamiliar with Chicago, but knew I wanted to stay near the museum and Millenium Park. On a value travel website, I found a rate for Hotel Blake less than half their advertised rate and I was sold. Reviews said it was 3-4 stars, but I really wasn't sure what to expect.When we showed up, I was pleasantly surprised. It's in a good neighborhood, and only a few minutes walk from Michigan avenue. We checked in very late, but the desk staff was courteous and helpful, though we did have to unpack and carry our bags ourselves. Valet-parking was available from the hotel, but half price parking is available literally just down the street from the hotel. When we made it to our room on the 9th floor, I was amazed at the room. Large room, magnificent bed, good decorations, huge bathroom. There was no train or traffic noise on the 9th story, and we both got excellent sleep on the comfortable mattress. Free wifi, excellent soap, shampoo, body wash, etc... even a sewing kit. The room definitely deserved four stars, my only minor quibble was a little mold in the shower stall of an otherwise impeccable bathroom. We never really tried the TV, but the room clock connected to my ipod, which I thought was neat.The free breakfast was great and unexpected, but I recommend getting there early as they ran out of donuts and danishes well before the posted closing time. Service was uniformly cordial and helpful, recommending good restaurants and nearby attractions. (awesome, but get there early). The pictures of Chicago posted on the Hotel Blake website were not representative of the actual view from the hotel, but google maps let me know what to expect in the vicinity. Overall, I heartily recommend the Hotel Blake and will probably stay there again if I can get the same rate.	
",4.188617886
38,usa_illinois_chicago_belden_stratford_hotel,"Oct 15 2009	Will Stay at the Belden-Stratford the Next Time I am in Chicago	We loved our stay for 1 night at the Belden-Stratford, the room was the size of an 1 1/2 bedroom apartment with lots of room for 3 adults. Location right accross from the Zoo, Observatory and Park. Wonderful quiet location and a nice neighborhood. We stayed in Chicago for 4 nights and had booked our outher 3 nights at the Doubletree near Michigan Ave though Doubletreee was nice, no way as large or comfortable as our rooms at the Belden-Stratford. We had 2 bathrooms, living room, dinning room, fully equiped kitchen and another small room with a bed. Place was very charming and we all agree loved having all the extra space, would not stay any place else. The only problem you will need to take a cab to the center of Chicago which can run about $20, cab fair from the airport ran $30, but you can also catch a bus on the corner for a lot cheeper traveling into town. The hotel also offers free breakfast and has a lovely restaurant/sidewalk cafe. You must take a boat tour of the city, we picked up our tour at the New Trump tour. We went to the Chicago Art Institute which was wonderful, only thing would skip the 3rd floor, art on that floor was not our taste. Navy Pier is very nice, we went on a tall ship with a Pirate who told you wonderful true stories of the Pirates in Chicago. One of my favorite things was we went to a Chicago Cubs game and got to se the old stadium. Would love to go back to Chicago, just love the city.	
